Customer,Inter-Arrival,Arrival,Service,Start,End,Waiting,In System,Idle
1,6.09,6.09,4.42,6.09,10.51,0.00,4.42,0.00
2,3.16,9.25,2.39,10.51,12.89,1.26,3.64,0.00
3,5.66,14.91,5.52,14.91,20.43,0.00,5.52,2.02
4,3.58,18.49,2.38,20.43,22.81,1.94,4.31,0.00
5,4.25,22.74,4.91,22.81,27.72,0.07,4.98,0.00
6,7.44,30.18,3.18,30.18,33.36,0.00,3.18,2.45
7,6.25,36.42,2.93,36.42,39.36,0.00,2.93,3.07
8,2.24,38.67,3.97,39.36,43.33,0.69,4.66,0.00
9,2.47,41.13,5.13,43.33,48.46,2.19,7.32,0.00
10,2.21,43.34,3.94,48.46,52.40,5.12,9.06,0.00
11,6.26,49.60,3.86,52.40,56.25,2.80,6.65,0.00
12,5.06,54.66,4.76,56.25,61.01,1.59,6.35,0.00
13,1.22,55.88,2.79,61.01,63.80,5.13,7.92,0.00
14,6.72,62.60,3.09,63.80,66.89,1.20,4.29,0.00
15,7.82,70.42,4.57,70.42,74.99,0.00,4.57,3.53
16,4.36,74.79,2.46,74.99,77.45,0.20,2.66,0.00
17,7.65,82.44,5.10,82.44,87.54,0.00,5.10,4.99
18,5.46,87.89,2.85,87.89,90.74,0.00,2.85,0.35
19,3.52,91.41,3.17,91.41,94.59,0.00,3.17,0.68
20,4.20,95.61,3.36,95.61,98.98,0.00,3.36,1.03
21,4.28,99.90,5.14,99.90,105.03,0.00,5.14,0.92
22,2.06,101.95,5.17,105.03,110.20,3.08,8.25,0.00
23,4.22,106.18,2.40,110.20,112.61,4.03,6.43,0.00
24,2.37,108.55,1.90,112.61,114.50,4.06,5.95,0.00
25,7.06,115.61,3.43,115.61,119.04,0.00,3.43,1.11
26,3.95,119.56,4.16,119.56,123.72,0.00,4.16,0.51
27,5.90,125.45,2.58,125.45,128.03,0.00,2.58,1.73
28,5.00,130.46,2.86,130.46,133.31,0.00,2.86,2.42
29,7.10,137.56,5.03,137.56,142.59,0.00,5.03,4.25
30,5.31,142.87,2.87,142.87,145.74,0.00,2.87,0.28
31,5.88,148.75,5.54,148.75,154.30,0.00,5.54,3.01
32,2.37,151.13,5.05,154.30,159.34,3.17,8.22,0.00
33,5.40,156.52,3.32,159.34,162.66,2.82,6.14,0.00
34,3.14,159.66,3.70,162.66,166.36,3.00,6.70,0.00
35,5.45,165.11,1.63,166.36,167.99,1.25,2.88,0.00
36,4.48,169.59,1.14,169.59,170.72,0.00,1.14,1.60
37,1.26,170.84,3.42,170.84,174.26,0.00,3.42,0.12
38,5.59,176.43,2.98,176.43,179.41,0.00,2.98,2.17
39,7.58,184.01,2.92,184.01,186.93,0.00,2.92,4.60
40,5.52,189.53,4.85,189.53,194.39,0.00,4.85,2.60
41,7.26,196.79,3.99,196.79,200.79,0.00,3.99,2.41
42,7.83,204.62,1.39,204.62,206.01,0.00,1.39,3.84
43,6.43,211.05,2.39,211.05,213.44,0.00,2.39,5.04
44,7.29,218.34,2.87,218.34,221.21,0.00,2.87,4.90
45,4.02,222.36,2.66,222.36,225.02,0.00,2.66,1.15
46,3.21,225.57,3.21,225.57,228.78,0.00,3.21,0.54
47,1.68,227.24,4.73,228.78,233.51,1.54,6.26,0.00
48,2.20,229.44,5.03,233.51,238.54,4.07,9.10,0.00
49,1.98,231.42,1.46,238.54,240.00,7.12,8.58,0.00
50,1.19,232.61,3.74,240.00,243.74,7.39,11.13,0.00
51,2.98,235.58,5.84,243.74,249.58,8.16,14.00,0.00
52,7.33,242.91,2.72,249.58,252.30,6.66,9.38,0.00
53,1.10,244.01,5.05,252.30,257.35,8.29,13.33,0.00
54,4.65,248.66,5.18,257.35,262.52,8.68,13.86,0.00
55,5.08,253.75,4.44,262.52,266.96,8.77,13.22,0.00
56,4.89,258.64,1.58,266.96,268.54,8.32,9.90,0.00
57,5.12,263.76,5.48,268.54,274.02,4.78,10.26,0.00
58,5.39,269.15,2.91,274.02,276.93,4.87,7.78,0.00
59,7.33,276.47,5.17,276.93,282.10,0.46,5.63,0.00
60,2.82,279.29,5.81,282.10,287.91,2.81,8.62,0.00
61,3.78,283.08,3.87,287.91,291.78,4.83,8.70,0.00
62,2.81,285.88,5.11,291.78,296.89,5.89,11.00,0.00
63,5.61,291.50,4.07,296.89,300.96,5.39,9.46,0.00
64,4.42,295.92,2.81,300.96,303.77,5.04,7.85,0.00
65,6.17,302.08,5.28,303.77,309.04,1.68,6.96,0.00
66,3.38,305.46,4.79,309.04,313.83,3.58,8.37,0.00
67,6.08,311.54,3.54,313.83,317.38,2.29,5.83,0.00
68,6.43,317.97,2.88,317.97,320.85,0.00,2.88,0.60
69,7.04,325.01,4.49,325.01,329.50,0.00,4.49,4.16
70,2.12,327.13,5.00,329.50,334.50,2.36,7.36,0.00
71,6.08,333.21,4.97,334.50,339.47,1.29,6.26,0.00
72,6.76,339.97,5.25,339.97,345.22,0.00,5.25,0.50
73,7.89,347.87,1.65,347.87,349.51,0.00,1.65,2.64
74,5.30,353.17,3.71,353.17,356.88,0.00,3.71,3.65
75,2.07,355.23,3.67,356.88,360.55,1.65,5.32,0.00
76,4.84,360.08,2.64,360.55,363.20,0.48,3.12,0.00
77,6.04,366.12,2.94,366.12,369.06,0.00,2.94,2.92
78,1.11,367.22,1.51,369.06,370.57,1.83,3.35,0.00
79,1.73,368.95,1.87,370.57,372.44,1.62,3.49,0.00
80,7.28,376.24,3.09,376.24,379.33,0.00,3.09,3.80
81,6.93,383.17,2.68,383.17,385.85,0.00,2.68,3.84
82,3.96,387.13,1.26,387.13,388.39,0.00,1.26,1.28
83,5.22,392.35,1.83,392.35,394.18,0.00,1.83,3.96
84,4.38,396.73,3.86,396.73,400.59,0.00,3.86,2.54
85,4.62,401.35,4.56,401.35,405.90,0.00,4.56,0.76
86,5.73,407.08,5.26,407.08,412.34,0.00,5.26,1.18
87,6.49,413.57,2.45,413.57,416.02,0.00,2.45,1.23
88,3.59,417.16,3.53,417.16,420.69,0.00,3.53,1.14
89,2.99,420.15,5.88,420.69,426.56,0.54,6.41,0.00
90,5.00,425.15,1.61,426.56,428.17,1.41,3.02,0.00
91,4.04,429.19,3.75,429.19,432.94,0.00,3.75,1.02
92,5.04,434.23,4.64,434.23,438.87,0.00,4.64,1.29
93,5.17,439.40,5.09,439.40,444.49,0.00,5.09,0.53
94,7.19,446.59,2.86,446.59,449.45,0.00,2.86,2.10
95,5.52,452.12,5.20,452.12,457.32,0.00,5.20,2.66
96,1.68,453.79,5.57,457.32,462.88,3.52,9.09,0.00
97,5.29,459.09,3.93,462.88,466.81,3.80,7.73,0.00
98,2.13,461.21,6.00,466.81,472.81,5.60,11.60,0.00
99,5.13,466.34,4.90,472.81,477.71,6.47,11.37,0.00
100,4.62,470.96,1.37,477.71,479.08,6.75,8.12,0.00
